epoch,train_loss,val_loss
1,0.17752525532110172,0.15425843102557044
2,0.08968872099745372,0.16269097631917365
3,0.08319845353445608,0.1898771911529043
4,0.09924843603714316,0.33484071790571174
5,0.11077422721403812,0.19680389764177944
6,0.07279858011213586,0.21388744414528651
7,0.06821926433423703,0.1936006198548937
8,0.06959987039319894,0.1807329636743112
9,0.07445983853083381,0.21594038658264664
10,0.06359426754195828,0.21847893112534356
11,0.06261036515886287,0.22404585738343397
12,0.062490132172622774,0.20837356635151552
13,0.06410192772996234,0.16921787501327815
14,0.05730901669310637,0.20338540442190284
15,0.049738562288732566,0.17827105053490208
16,0.049770846396245925,0.17342452728001762
17,0.06614430012346884,0.17485575154686586
18,0.07152373735862207,0.16453359784575314
19,0.06086274089766974,0.19192648156369554
20,0.05838406290416413,0.15885209117620816
21,0.05668877912800728,0.18272476301846777
22,0.05073301843848572,0.1807228617953144
23,0.049737843198986526,0.14389935774623505
24,0.04496734124446703,0.16718558230012046
25,0.03660162676930089,0.1486312749484862
