epoch,train_loss,val_loss
1,0.1420442631188203,0.03586974681421716
2,0.07636332929494469,0.15902567380521027
3,0.05454966412281833,0.04427277654952289
4,0.06011507463717712,0.043329387635646026
5,0.04322734454979597,0.06388309276599836
6,0.04272901966474774,0.06369718253934538
7,0.02850204720202745,0.0517596818217205
8,0.025735227923959887,0.08676164766051618
9,0.02056146835394046,0.08531759152298483
10,0.014701466712397469,0.07243961756202841
11,0.00826441902374656,0.146710196019769
12,0.014648815367857232,0.11845838400459878
13,0.03591784381735884,0.03204129952298958
14,0.06868782808520103,0.063073531349918
15,0.010096828999080534,0.06386605255312544
16,0.006017177673389211,0.12436539837741052
17,0.01625303948701326,0.027961127842800235
18,0.005748167310471903,0.08656376997811559
19,0.004451190071884338,0.2382969540644735
20,0.006816123370975949,0.12687029938582817
21,0.003048438634963088,0.1315131585762791
22,0.004006649154114032,0.16056605193521942
23,0.008148800567017712,0.13398101123029818
24,0.013187503328773184,0.11496585873385658
25,0.0160268125286737,0.11305602896023954
