epoch,train_loss,val_loss
1,0.14466385281652458,0.17793923991191532
2,0.12279839435407569,0.2336281183506212
3,0.09094611808180439,0.21466638246220687
4,0.07663845364870273,0.1462980998743836
5,0.081784571475765,0.19635252668822725
6,0.0815293410261862,0.18322623868645618
7,0.07296590454403065,0.2060312265455122
8,0.06749531145742517,0.1807893957612255
9,0.06063527090297935,0.19473781825264827
10,0.05473332345766623,0.22805031785373425
11,0.06453299175078157,0.22141705334164022
12,0.05802906694733499,0.16399164710028638
13,0.0488055905188657,0.17507900144564995
14,0.053278021086757804,0.16056213375451345
15,0.06024117793210528,0.177255425290505
16,0.04874240799349048,0.20393941915526445
17,0.04742607079861947,0.1375564064383657
18,0.039451602874285244,0.13267782736652262
19,0.043371957687811144,0.14455722094956605
20,0.061215503414523254,0.16854214160177375
21,0.05105088339649018,0.187846776857529
22,0.04410005442813531,0.1628897257023416
23,0.04007347831637252,0.17719572784065554
24,0.046530711939866264,0.13502197610608663
25,0.03356991383181654,0.17962900235603052
