feature,mean_abs_shap
acc_x,4.6878650660175935e-06
acc_y,4.045547451312359e-06
acc_z,2.0552666221251846e-06
gyr_x,1.7484281403801205e-06
gyr_y,1.0422393388349605e-05
gyr_z,8.949015457471176e-06
